"s","d","Val"
"scen1","d7",1
"scen1","d5",1
"scen1","d6",1
"scen1","d3",1
"scen1","d8",-1
"scen1","d2",-1
"scen1","d1",-1
"scen1","d4",1
"scen10","d7",1
"scen10","d5",1
"scen10","d6",1
"scen10","d3",1
"scen10","d8",-1
"scen10","d2",1
"scen10","d1",1
"scen10","d4",-1
"scen11","d7",1
"scen11","d5",1
"scen11","d6",-1
"scen11","d3",-1
"scen11","d8",1
"scen11","d2",1
"scen11","d1",-1
"scen11","d4",1
"scen12","d7",1
"scen12","d5",-1
"scen12","d6",1
"scen12","d3",-1
"scen12","d8",-1
"scen12","d2",1
"scen12","d1",1
"scen12","d4",1
"scen13","d7",-1
"scen13","d5",1
"scen13","d6",1
"scen13","d3",1
"scen13","d8",1
"scen13","d2",1
"scen13","d1",1
"scen13","d4",-1
"scen14","d7",-1
"scen14","d5",-1
"scen14","d6",1
"scen14","d3",1
"scen14","d8",1
"scen14","d2",1
"scen14","d1",1
"scen14","d4",1
"scen15","d7",-1
"scen15","d5",1
"scen15","d6",1
"scen15","d3",-1
"scen15","d8",1
"scen15","d2",-1
"scen15","d1",1
"scen15","d4",1
"scen16","d7",1
"scen16","d5",-1
"scen16","d6",-1
"scen16","d3",-1
"scen16","d8",1
"scen16","d2",-1
"scen16","d1",1
"scen16","d4",1
"scen17","d7",1
"scen17","d5",1
"scen17","d6",-1
"scen17","d3",1
"scen17","d8",-1
"scen17","d2",1
"scen17","d1",1
"scen17","d4",-1
"scen18","d7",-1
"scen18","d5",-1
"scen18","d6",1
"scen18","d3",1
"scen18","d8",1
"scen18","d2",1
"scen18","d1",1
"scen18","d4",-1
"scen19","d7",-1
"scen19","d5",-1
"scen19","d6",1
"scen19","d3",1
"scen19","d8",1
"scen19","d2",-1
"scen19","d1",1
"scen19","d4",1
"scen2","d7",1
"scen2","d5",-1
"scen2","d6",1
"scen2","d3",-1
"scen2","d8",1
"scen2","d2",1
"scen2","d1",1
"scen2","d4",-1
"scen20","d7",-1
"scen20","d5",1
"scen20","d6",1
"scen20","d3",-1
"scen20","d8",1
"scen20","d2",1
"scen20","d1",1
"scen20","d4",-1
"scen3","d7",1
"scen3","d5",-1
"scen3","d6",-1
"scen3","d3",1
"scen3","d8",-1
"scen3","d2",1
"scen3","d1",1
"scen3","d4",1
"scen4","d7",-1
"scen4","d5",1
"scen4","d6",1
"scen4","d3",1
"scen4","d8",1
"scen4","d2",1
"scen4","d1",1
"scen4","d4",-1
"scen5","d7",1
"scen5","d5",-1
"scen5","d6",1
"scen5","d3",-1
"scen5","d8",1
"scen5","d2",1
"scen5","d1",1
"scen5","d4",1
"scen6","d7",-1
"scen6","d5",1
"scen6","d6",1
"scen6","d3",1
"scen6","d8",1
"scen6","d2",-1
"scen6","d1",1
"scen6","d4",1
"scen7","d7",-1
"scen7","d5",-1
"scen7","d6",1
"scen7","d3",1
"scen7","d8",-1
"scen7","d2",1
"scen7","d1",1
"scen7","d4",1
"scen8","d7",1
"scen8","d5",1
"scen8","d6",1
"scen8","d3",1
"scen8","d8",-1
"scen8","d2",-1
"scen8","d1",-1
"scen8","d4",1
"scen9","d7",1
"scen9","d5",1
"scen9","d6",1
"scen9","d3",-1
"scen9","d8",1
"scen9","d2",1
"scen9","d1",1
"scen9","d4",-1
