55001,republicans,5983.0
55001,democrats,3780.0
55003,republicans,3428.0
55003,democrats,4136.0
55005,republicans,13595.0
55005,democrats,7881.0
55007,republicans,4124.0
55007,democrats,4952.0
55009,republicans,67192.0
55009,democrats,53358.0
55011,republicans,4049.0
55011,democrats,2530.0
55013,republicans,5412.0
55013,democrats,2948.0
55015,republicans,15345.0
55015,democrats,9634.0
55017,republicans,17911.0
55017,democrats,11875.0
55019,republicans,8645.0
55019,democrats,4225.0
55021,republicans,14160.0
55021,democrats,13525.0
55023,republicans,3844.0
55023,democrats,3426.0
55025,republicans,71270.0
55025,democrats,217506.0
55027,republicans,26643.0
55027,democrats,13968.0
55029,republicans,8584.0
55029,democrats,8026.0
55031,republicans,9657.0
55031,democrats,11342.0
55033,republicans,11487.0
55033,democrats,9024.0
55035,republicans,23300.0
55035,democrats,27271.0
55037,republicans,1897.0
55037,democrats,666.0
55039,republicans,31044.0
55039,democrats,17391.0
55041,republicans,2787.0
55041,democrats,1583.0
55043,republicans,12347.0
55043,democrats,10047.0
55045,republicans,8693.0
55045,democrats,9121.0
55047,republicans,6209.0
55047,democrats,2700.0
55049,republicans,4808.0
55049,democrats,6669.0
55051,republicans,2090.0
55051,democrats,1273.0
55053,republicans,4907.0
55053,democrats,3821.0
55055,republicans,23409.0
55055,democrats,16559.0
55057,republicans,7187.0
55057,democrats,4100.0
55059,republicans,36025.0
55059,democrats,35770.0
55061,republicans,6616.0
55061,democrats,3623.0
55063,republicans,26384.0
55063,democrats,32402.0
55065,republicans,3977.0
55065,democrats,3288.0
55067,republicans,6436.0
55067,democrats,3260.0
55069,republicans,8399.0
55069,democrats,5370.0
55071,republicans,23234.0
55071,democrats,14563.0
55073,republicans,39010.0
55073,democrats,26476.0
55075,republicans,12994.0
55075,democrats,6243.0
55077,republicans,4712.0
55077,democrats,2808.0
55078,republicans,269.0
55078,democrats,1003.0
55079,republicans,126091.0
55079,democrats,288985.0
55081,republicans,11442.0
55081,democrats,7047.0
55083,republicans,13255.0
55083,democrats,5886.0
55085,republicans,11677.0
55085,democrats,8103.0
55087,republicans,49884.0
55087,democrats,38087.0
55089,republicans,30458.0
55089,democrats,20167.0
55091,republicans,2228.0
55091,democrats,1345.0
55093,republicans,11260.0
55093,democrats,8380.0
55095,republicans,13864.0
55095,democrats,7568.0
55097,republicans,17310.0
55097,democrats,18524.0
55099,republicans,4562.0
55099,democrats,2671.0
55101,republicans,46620.0
55101,democrats,42506.0
55103,republicans,4021.0
55103,democrats,3577.0
55105,republicans,31483.0
55105,democrats,39335.0
55107,republicans,4564.0
55107,democrats,2171.0
55109,republicans,26123.0
55109,democrats,17495.0
55111,republicans,14791.0
55111,democrats,14692.0
55113,republicans,4625.0
55113,democrats,2846.0
55115,republicans,12742.0
55115,democrats,6056.0
55117,republicans,32368.0
55117,democrats,22636.0
55119,republicans,6589.0
55119,democrats,2398.0
55121,republicans,7369.0
55121,democrats,5645.0
55123,republicans,6994.0
55123,democrats,6351.0
55125,republicans,8169.0
55125,democrats,4769.0
55127,republicans,28848.0
55127,democrats,18706.0
55129,republicans,5404.0
55129,democrats,3283.0
55131,republicans,51728.0
55131,democrats,20854.0
55133,republicans,142521.0
55133,democrats,79200.0
55135,republicans,16012.0
55135,democrats,8302.0
55137,republicans,7669.0
55137,democrats,3801.0
55139,republicans,43447.0
55139,democrats,37054.0
55141,republicans,21502.0
55141,democrats,14231.0
